FeatureParameterSpace_name,AggregationParameters,ImageFilterSpace_name,InterpolationParameters_name,ReSegmentationParameters_name,DiscretisationParameters_name,FeatureSpecificParameters_name
FeatureParameterSpace_1,3D,,InterpolationParameters_1,ReSegmentationParameters_1,,FeatureSpecificParameters_1
FeatureParameterSpace_2,3D,,InterpolationParameters_1,ReSegmentationParameters_1,,
FeatureParameterSpace_3,3D,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_1,
FeatureParameterSpace_4,3D,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_2,FeatureSpecificParameters_2
FeatureParameterSpace_5,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_3,FeatureSpecificParameters_3
FeatureParameterSpace_6,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_4,FeatureSpecificParameters_3
FeatureParameterSpace_7,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_5,FeatureSpecificParameters_3
FeatureParameterSpace_8,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_1,FeatureSpecificParameters_3
FeatureParameterSpace_9,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_6,FeatureSpecificParameters_3
FeatureParameterSpace_10,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_7,FeatureSpecificParameters_3
FeatureParameterSpace_11,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_8,FeatureSpecificParameters_3
FeatureParameterSpace_12,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_9,FeatureSpecificParameters_3
FeatureParameterSpace_13,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_10,FeatureSpecificParameters_3
FeatureParameterSpace_14,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_11,FeatureSpecificParameters_3
FeatureParameterSpace_15,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_12,FeatureSpecificParameters_3
FeatureParameterSpace_16,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_13,FeatureSpecificParameters_3
FeatureParameterSpace_17,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_14,FeatureSpecificParameters_3
FeatureParameterSpace_18,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_15,FeatureSpecificParameters_3
FeatureParameterSpace_19,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_16,FeatureSpecificParameters_3
FeatureParameterSpace_20,3Dmrg,,InterpolationParameters_2,ReSegmentationParameters_1,DiscretisationParameters_17,FeatureSpecificParameters_3
FeatureParameterSpace_21,3Dmrg,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_3,FeatureSpecificParameters_3
FeatureParameterSpace_22,3Dmrg,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_4,FeatureSpecificParameters_3
FeatureParameterSpace_23,3Dmrg,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_5,FeatureSpecificParameters_3
FeatureParameterSpace_24,3Dmrg,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_1,FeatureSpecificParameters_3
FeatureParameterSpace_25,3Dmrg,,InterpolationParameters_1,ReSegmentationParameters_1,DiscretisationParameters_6,FeatureSpecificParameters_3
